order_id,order_date,product_category,region,units_sold,unit_price,customer_age,customer_rating,payment_method,revenue
1001,2024-01-01,Books,West,9,774.05,29,4.7,UPI,6966.45
1002,2024-01-04,Sports,East,12,3623.57,56,1.6,Cash on Delivery,43482.84
1003,2024-01-07,Home & Kitchen,West,12,3851.77,19,2.4,Debit Card,46221.24
1004,2024-01-10,Sports,East,12,2894.13,20,1.5,Debit Card,34729.56
1005,2024-01-13,Sports,West,13,3900.64,54,4.7,UPI,50708.32
1006,2024-01-16,Clothing,North,9,2570.22,34,,Credit Card,23131.98
1007,2024-01-19,Home & Kitchen,West,13,2709.12,19,2.0,UPI,35218.56
1008,2024-01-22,Home & Kitchen,East,13,2252.2,19,3.6,Credit Card,29278.6
1009,2024-01-25,electronics,East,1,322.01,45,4.3,Cash on Delivery,322.01
1010,2024-01-28,Sports,South,9,717.88,40,3.2,Debit Card,6460.92
1011,2024-01-31,Books,North,7,350.86,54,3.1,Cash on Delivery,2456.02
1012,2024-02-03,Home & Kitchen,West,9,3254.77,49,2.0,Credit Card,29292.93
1013,2024-02-06,Sports,South,8,,50,1.4,Credit Card,
1014,2024-02-09,Clothing,West,1,2641.14,18,4.6,Cash on Delivery,2641.14
1015,2024-02-12,Books,West,12,4556.32,36,4.6,Credit Card,54675.84
1016,2024-02-15,Clothing,South,8,1396.6,19,3.5,Cash on Delivery,11172.8
1017,2024-02-18,Books,South,8,2169.84,43,2.4,Debit Card,17358.72
1018,2024-02-21,Sports,South,11,3826.65,49,2.4,Cash on Delivery,42093.15
1019,2024-02-24,Electronics,South,3,1298.23,23,3.9,Debit Card,3894.69
1020,2024-02-27,SPORTS,South,1,569.5,49,4.6,Cash on Delivery,569.5
1021,2024-03-01,Clothing,West,8,1590.81,21,4.5,Credit Card,12726.48
1022,2024-03-04,Sports,South,3,973.86,28,4.1,Cash on Delivery,2921.58
1023,2024-03-07,Books,North,3,4662.55,34,3.6,Credit Card,13987.65
1024,2024-03-10,Electronics,East,1,4078.98,55,1.3,Cash on Delivery,4078.98
1025,2024-03-13,Electronics,South,11,3240.34,41,1.6,Cash on Delivery,35643.74
1026,2024-03-16,Home & Kitchen,South,5,4383.01,22,4.6,UPI,21915.05
1027,2024-03-19,Home & Kitchen,West,10,4057.63,51,3.4,Credit Card,40576.3
1028,2024-03-22,Clothing,South,7,1095.54,23,,UPI,7668.78
1029,2024-03-25,Books,South,10,4484.28,39,1.4,Credit Card,44842.8
1030,2024-03-28,Books,South,9,2788.84,28,3.7,UPI,25099.56
1031,2024-03-31,Home & Kitchen,West,12,4075.71,33,1.0,Debit Card,48908.52
1032,2024-04-03,Books,South,7,4501.24,50,1.6,Cash on Delivery,31508.68
1033,2024-04-06,Books,East,9,1726.42,26,3.2,Credit Card,15537.78
1034,2024-04-09,Electronics,West,8,,23,3.8,Credit Card,
1035,2024-04-12,Home & Kitchen,East,12,1294.09,33,3.6,Cash on Delivery,15529.08
1036,2024-04-15,Sports,West,2,2250.12,46,1.9,Credit Card,4500.24
1037,2024-04-18,Home & Kitchen,South,1,4126.47,20,3.8,Credit Card,4126.47
1038,2024-04-21,Sports,East,7,4331.51,37,1.9,UPI,30320.57
1039,2024-04-24,Electronics,West,7,233.37,53,2.3,Credit Card,1633.59
1040,2024-04-27,Clothing,North,14,2651.59,36,4.0,Debit Card,37122.26
1041,2024-04-30,Books,South,120,2203.57,43,3.6,Debit Card,264428.4
1042,2024-05-03,Electronics,West,5,1266.12,20,4.4,Cash on Delivery,6330.6
1043,2024-05-06,Books,North,3,775.35,36,3.6,Credit Card,2326.05
1044,2024-05-09,Clothing,West,12,1820.55,37,3.3,Cash on Delivery,21846.6
1045,2024-05-12,Clothing,North,8,4725.97,49,1.4,Debit Card,37807.76
1046,2024-05-15,Electronics,South,6,1751.37,24,2.5,Credit Card,10508.22
1047,2024-05-18,Clothing,East,11,2690.19,58,2.1,Credit Card,29592.09
1048,2024-05-21,Sports,North,3,3574.49,50,2.0,Cash on Delivery,10723.47
1049,2024-05-24,Clothing,West,1,1945.42,57,4.9,Debit Card,1945.42
1050,2024-05-27,Books,South,3,4864.55,56,2.6,Credit Card,14593.65
1004,2024-01-10,Sports,East,12,2894.13,20,1.5,Debit Card,34729.56
1016,2024-02-15,Clothing,South,8,1396.6,19,3.5,Cash on Delivery,11172.8
